issue,action,success
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
CPU_HIGH,KILL_PROCESS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
MEMORY_HIGH,CLEAR_CACHE,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
NETWORK_DOWN,NETWORK_RESET,1
CPU_HIGH,KILL_PROCESS,1
